drug_1,drug_2,cell_line,bliss,loewe,hsa,zip,bliss_uncertainty,loewe_uncertainty,hsa_uncertainty,zip_uncertainty
Everolimus,Capivasertib,A549,0.42,0.38,0.51,0.45,0.05,0.04,0.06,0.05
Everolimus,Capivasertib,MDA-MB-231,0.38,0.35,0.47,0.41,0.04,0.05,0.05,0.04
Everolimus,Capivasertib,HCT116,0.45,0.41,0.53,0.48,0.06,0.05,0.07,0.06
Cisplatin,PD0325901,A549,0.35,0.41,0.38,0.40,0.03,0.04,0.04,0.03
Cisplatin,PD0325901,MDA-MB-231,0.32,0.38,0.35,0.37,0.04,0.05,0.04,0.04
Cisplatin,PD0325901,HCT116,0.40,0.44,0.42,0.43,0.05,0.06,0.05,0.05
Everolimus,Cisplatin,A549,0.28,0.32,0.29,0.31,0.03,0.04,0.03,0.03
Everolimus,Cisplatin,MDA-MB-231,0.31,0.35,0.33,0.34,0.04,0.04,0.04,0.04
Everolimus,Cisplatin,HCT116,0.26,0.30,0.27,0.29,0.03,0.03,0.03,0.03
Doxorubicin,Paclitaxel,MCF7,0.55,0.52,0.58,0.56,0.07,0.06,0.08,0.07
Doxorubicin,Paclitaxel,HeLa,0.48,0.45,0.51,0.49,0.06,0.05,0.06,0.06
Capivasertib,PD0325901,A549,0.51,0.47,0.54,0.52,0.06,0.05,0.07,0.06
Capivasertib,PD0325901,HCT116,0.46,0.43,0.49,0.47,0.05,0.05,0.06,0.05
